Date,NAV per unit,fund_net_NAV,investor,principal,unit_total,unit_chg,carry_fee,management_fee,realized_pnl,realized_mgm,realized_carry,gross_nav,gross_pnl,carry_amount,mgm_amount,net_nav,net_pnl,coin,total_return
2024/12/20,1.031773733,,sam,75,75.0,0,0.2,0,0.0,0,0.0,77.383029975,2.3830299749999995,0.4766059949999999,0.0,76.90642398,1.9064239799999996,BTC,0.0254189863999999
2024/12/27,1.0324482,,sam,75,75.0,0,0.2,0,0.0,0,0.0,77.43361499999999,2.433614999999989,0.4867229999999978,0.0,76.94689199999999,1.9468919999999912,BTC,0.0259585599999998
2025/1/10,1.033358756,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.0628700282132,0.0628700282131973,0.0125540056426394,0.0,75.05031602257056,0.0503160225705578,BTC,0.0266642136342741
2025/1/17,1.033716687,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.08887002867391,0.0888700286739094,0.0177540057347819,0.0,75.07111602293912,0.0711160229391275,BTC,0.0269415469725217
2025/1/24,1.034343066,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.1343700113202,0.1343700113202004,0.0268540022640401,0.0,75.10751600905616,0.1075160090561602,BTC,0.0274268801207488
2025/1/31,1.034818219,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.1688849826943,0.1688849826942942,0.0337569965388588,0.0,75.13512798615544,0.1351279861554353,BTC,0.0277950398154058
2025/2/7,1.035892012,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.2468849840764,0.2468849840764022,0.0493569968152804,0.0,75.19752798726113,0.1975279872611218,BTC,0.0286270398301482
2025/2/14,1.036339426,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.2793850028122,0.2793850028122051,0.055857000562441,0.0,75.22352800224976,0.223528002249764,BTC,0.0289737066966635
2025/2/21,1.037144771,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.33788502200869,0.3378850220086917,0.0675570044017383,0.0,75.27032801760696,0.2703280176069534,BTC,0.029597706901426
2025/2/28,1.037950115,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.3963849685655,0.3963849685654992,0.0792569937130998,0.0,75.3171279748524,0.3171279748523993,BTC,0.0302217063313653
2025/3/7,1.038529964,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.43850502597081,0.4385050259708123,0.0876810051941625,0.0,75.35082402077666,0.3508240207766498,BTC,0.0306709869436886
2025/3/14,1.039156343,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.4840050086171,0.4840050086171032,0.0967810017234206,0.0,75.38722400689369,0.3872240068936826,BTC,0.0311563200919157
2025/3/21,1.039961688,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.5425050278136,0.5425050278136041,0.1084810055627208,0.0,75.43402402225088,0.4340240222508832,BTC,0.0317803202966784
2025/3/28,1.041214446,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.6335049931062,0.6335049931062002,0.1266809986212401,0.0,75.50682399448496,0.5068239944849602,BTC,0.0327509865931328
2025/4/4,1.04178982,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.675299987854,0.6752999878540038,0.1350399975708008,0.0,75.5402599902832,0.540259990283203,BTC,0.0331967998704427
2025/4/11,1.042416199,,sam,75,72.6397,0,0.2,0,1.9495,0,0.4874,75.72079997050031,0.720799970500309,0.1441399941000619,0.0,75.57665997640025,0.5766599764002471,BTC,0.0336821330186699
